Institute ID,Name,City,State,Rank
IR-I-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,1
IR-I-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,2
IR-I-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,3
IR-I-U-0220,"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,4
IR-I-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5
IR-I-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6
IR-I-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,7
IR-I-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,8
IR-I-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,9
IR-I-U-0439,Anna University,Chennai,Tamil Nadu,10
